Bee,Horizon,Order,Session,Condition,Choices,VideoReviewedChoices,InformativeColor,UninformativeColor,Date,Observer,Datasheet,FlowerColors,FlowerRewards,TranscribedBy,CheckedBy,Rewards,"InformativeChoice (0=No,1=Yes)",NoSamples
Yellow71,16,2,Test,HighValueHighInfo,"11,8,3,1,11,14,14,13,14,10","11,8,3,1,11,14,14,13,14,10",B,DG,7/16/2019,CP,IMG_4167.HEIC,"DG,B,DG,B,B,DG,B,DG,DG,B,DG,B,B,DG,B,DG","1.25,2.25,0.25,2.25,1.75,0.75,1.25,1.25,0.25,1.75,0.25,1.25,2.25,1.25,1.25,0.75",SM,,".25,1.25,.25,1.25,.25,1.25,1.25,2.25,1.25,.25","0,0,0,0,0,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0"
Yellow89,6,1,Sample,HighValueHighInfo,"3,3,3,3,4,4,3,1,5,5,6,1","3,3,3,3,4,4,3,1,5,5,6,1",DG,B,7/22/2019,CP,IMG_7658.HEIC,"B,B,DG,B,B,DG","0.75,0.75,1.75,1.25,1.25,1.25",AD,,"1.75,1.75,1.75,1.75,1.25,1.25,1.75,.75,1.25,1.25,.75","1,1,1,1,0,0,1,0,0,0,1,0","1,1,1,1,0,0,1,0,0,0,1,0"
Yellow89,16,1,Test,HighValueHighInfo,"8,7,12,11,15,11,16","8,7,12,11,15,11,16",DG,B,7/22/2019,CP,IMG_7658.HEIC,"B,DG,B,DG,DG,B,DG,B,B,DG,B,DG,DG,B,DG,B","0.75,1.25,1.25,1.75,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.75,1.25,0.75,2.25,1.25",AD,,"1.25,1.25,1.75,1.25,2.25,1.25,1.25","0,1,1,0,1,0,0","0,1,1,0,1,0,0"
Yellow74,6,1,Sample,HighValueHighInfo,"5,5,4,1,5,1,5,1,4,6,5,3,5,1","5,5,4,4,1,5,1,5,1,4,6,2,5,3,4,5,2,1",DG,B,7/28/2019,CP,IMG_4730.HEIC,"B,B,DG,B,B,DG","0.25,0.75,1.75,0.25,0.25,2.25",SM,AD,"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,1.75,0.25,0.25,0.75,0.25","0,0,0,0,0,0,0,1,0,1,0,0",
Yellow74,2,1,Test,HighValueHighInfo,"1,1","1,1",DG,B,7/28/2019,CP,IMG_4730.HEIC,"B,DG","0.25,1.25",SM,AD,".25,.25","0,0",
Orange37,6,1,Sample,HighValueHighInfo,"6,6,1,3","6,6,1,3",DG,B,8/13/2019,CP,IMG_3542.HEIC,"B,B,DG,B,B,DG","0.75,0.75,1.75,1.25,1.25,1.25",SM,,"1.25,1.25,0.75,1.75","0,0,1,0,0,1",
Orange37,16,1,Test,HighValueHighInfo,"13,13,14,15,12","13,13,14,15,12",DG,B,8/13/2019,CP,IMG_3542.HEIC,"B,DG,B,DG,DG,B,DG,B,B,DG,B,DG,DG,B,DG,B","0.75,2.25,1.25,1.75,1.25,1.25,1.25,1.25,1.25,1.75,1.25,1.75,1.25,1.75,2.25,1.25",SM,,"1.25,1.25,1.75,2.25,1.75","0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0",
Blue19,6,1,Sample,LowValueHighInfo,"1,2,2,1,6","1,2,2,1,6",LG,O,7/5/2019,JM,IMG_4335.HEIC,"O,O,LG,O,O,LG","2.25,2.25,0.75,1.75,1.25,1.25",SM,,"2.25,2.25,2.25,2.25,1.25","0,0,0,0,1","0,0,0,0,1"
Blue19,16,1,Test,LowValueHighInfo,"5,6,13","5,6,13",LG,O,7/5/2019,JM,IMG_4335.HEIC,"O,LG,O,LG,LG,O,LG,O,O,LG,O,LG,LG,O,LG,O","2.25,1.25,1.25,0.75,0.75,1.75,1.25,1.75,1.25,0.25,2.25,0.7,1.25,1.25,0.25,1.75",SM,,".75,1.75,1.25","1,0,1","0,0,0"
Green10,6,1,Sample,LowValueHighInfo,"3,3,4,6","3,3,4,6",B,DG,7/7/2019,CP,IMG_7394.HEIC,"DG,DG,B,DG,DG,B","2.25,1.75,0.75,1.25,2.25,0.75",AD,,".75,.75,1.25,.75","1,1,0,1","1,0,0,0"
